日期,接种百分比,新增感染人数,新增严重患者人数,新增死亡人数,新增治愈人数/现存
12-02-2020,0,0,0,0,0
13-02-2020,0,0,0,0,0
14-02-2020,0,0,0,0,0
15-02-2020,0,0,0,0,0
16-02-2020,0,0,0,0,0
17-02-2020,0,0,0,0,0
18-02-2020,0,0,0,0,0
19-02-2020,0,0,0,0,0
20-02-2020,0,0,0,0,0
21-02-2020,0,1,0,0,0
22-02-2020,0,0,0,0,0
23-02-2020,0,0,0,0,0
24-02-2020,0,1,0,0,0
25-02-2020,0,0,0,0,0
26-02-2020,0,0,0,0,0
27-02-2020,0,1,0,0,0
28-02-2020,0,3,0,0,0
29-02-2020,0,0,0,0,0
01-03-2020,0,1,0,0,0
02-03-2020,0,5,0,0,0
03-03-2020,0,3,0,0,0
04-03-2020,0,0,0,0,0
05-03-2020,0,2,1,1,0
06-03-2020,0,4,1,1,0
07-03-2020,0,4,1,1,0
08-03-2020,0,9,2,2,0
09-03-2020,0,4,0,0,0
10-03-2020,0,33,1,1,0
11-03-2020,0,19,1,1,0
12-03-2020,0,22,0,0,0
13-03-2020,0,35,0,0,0.008403361
14-03-2020,0,29,1,1,0
15-03-2020,0,39,3,3,0
16-03-2020,0,73,2,2,0
17-03-2020,0,94,1,1,0.006802721
18-03-2020,0,125,4,4,0.005181347
19-03-2020,0,136,5,5,0.007858546
20-03-2020,0,168,3,3,0.001560062
21-03-2020,0,210,4,4,0.001239157
22-03-2020,0,254,11,11,0.003937008
23-03-2020,0,352,7,7,0.004739336
24-03-2020,0,423,7,7,0.003101737
25-03-2020,0,425,5,5,0.002960039
26-03-2020,0,520,10,10,0.00408998
27-03-2020,0,434,13,13,0.006101695
28-03-2020,0,479,5,5,0.002675386
29-03-2020,0,531,14,14,0.003913384
30-03-2020,0,548,13,13,0.007593189
31-03-2020,0,738,16,16,0.008847737
01-04-2020,0,703,21,21,0.05062151
02-04-2020,0,719,12,12,0.013411567
03-04-2020,0,598,24,24,0.008491281
04-04-2020,0,429,17,17,0.007431296
05-04-2020,0,583,6,6,0.013729672
06-04-2020,0,450,21,21,0.015172414
07-04-2020,0,377,18,18,0.014705882
08-04-2020,0,339,22,22,0.012641929
09-04-2020,0,343,19,19,0.012890714
10-04-2020,0,359,13,13,0.014465339
11-04-2020,0,345,26,26,0.01335795
12-04-2020,0,552,21,21,0.027483022
13-04-2020,0,438,34,34,0.029245186
14-04-2020,0,399,8,8,0.029728084
15-04-2020,0,311,27,27,0.028129395
16-04-2020,0,297,19,19,0.032691536
17-04-2020,0,298,13,13,0.036030596
18-04-2020,0,291,28,28,0.02493159
19-04-2020,0,276,8,8,0.038783961
20-04-2020,0,299,12,12,0.046090956
21-04-2020,0,282,8,8,0.038641321
22-04-2020,0,225,10,10,0.041146216
23-04-2020,0,276,11,11,0.035374586
24-04-2020,0,249,9,9,0.036351904
25-04-2020,0,159,7,7,0.040951553
26-04-2020,0,83,10,10,0.04819143
27-04-2020,0,127,3,3,0.054210587
28-04-2020,0,161,6,6,0.067567568
29-04-2020,0,82,6,6,0.044647387
30-04-2020,0,142,5,5,0.05586225
01-05-2020,0,116,5,5,0.057248258
02-05-2020,0,57,7,7,0.040074159
03-05-2020,0,27,2,2,0.043183493
04-05-2020,0,55,2,2,0.03990178
05-05-2020,0,33,0,0,0.050253646
06-05-2020,0,65,3,3,0.043175025
07-05-2020,0,61,3,3,0.039649846
08-05-2020,0,33,3,3,0.039610964
09-05-2020,0,20,5,5,0.016306339
10-05-2020,0,29,4,4,0.031748979
11-05-2020,0,39,3,3,0.063740458
12-05-2020,0,23,3,3,0.052226721
13-05-2020,0,39,2,2,0.038706933
14-05-2020,0,22,2,2,0.053555751
15-05-2020,0,12,0,0,0.037404756
16-05-2020,0,5,0,0,0.024874432
17-05-2020,0,15,3,3,0.037509193
18-05-2020,0,27,1,1,0.070358141
19-05-2020,0,22,3,3,0.042073833
20-05-2020,0,15,1,1,0.032121724
21-05-2020,0,17,2,2,0.036242389
22-05-2020,0,19,0,0,0.048787788
23-05-2020,0,5,0,0,0.013762903
24-05-2020,0,13,1,1,0.036732109
25-05-2020,0,22,2,2,0.043549443
26-05-2020,0,50,1,1,0.030941857
27-05-2020,0,40,5,5,0.02137931
28-05-2020,0,77,0,0,0.039986092
29-05-2020,0,113,4,4,0.013746916
30-05-2020,0,29,0,0,0.013740982
31-05-2020,0,87,3,3,0.021034483
01-06-2020,0,100,1,1,0.023239918
02-06-2020,0,121,2,2,0.017935702
03-06-2020,0,97,1,1,0.008937438
04-06-2020,0,142,4,4,0.013592233
05-06-2020,0,127,0,0,0.011598746
06-06-2020,0,78,5,5,0.007319305
07-06-2020,0,140,5,5,0.012616401
08-06-2020,0,179,2,2,0.011386861
09-06-2020,0,174,3,3,0.012622721
10-06-2020,0,240,2,2,0.013809911
11-06-2020,0,192,6,6,0.014171605
12-06-2020,0,184,3,3,0.013439522
13-06-2020,0,149,2,2,0.009643202
14-06-2020,0,136,1,1,0.011278195
15-06-2020,0,199,7,7,0.020497467
16-06-2020,0,299,4,4,0.011904762
17-06-2020,0,271,3,3,0.010006387
18-06-2020,0,302,6,6,0.010160536
19-06-2020,0,310,6,6,0.011018751
20-06-2020,0,161,4,4,0.006635945
21-06-2020,0,173,9,9,0.009010633
22-06-2020,0,345,5,5,0.010401975
23-06-2020,0,452,4,4,0.014101058
24-06-2020,0,487,6,6,0.011228847
25-06-2020,0,516,5,5,0.011134204
26-06-2020,0,464,8,8,0.018123519
